Unnamed: 0,state,action,pos
,  OO    X,4,12.405
,  OOX O X,0,11.0
,        O,7,9.602999999999996
,O   X O  ,2,1.62
,OOX X O  ,7,0.0
,OXO   XO ,4,5.850000000000001
,OXO X XOO,3,0.0
,  X    OO,5,0.5625
,O XO XXOO,4,5.0
,OXO  O X ,3,0.75
,OXOX OOX ,4,8.0
,  O  O  X,0,2.4375
,X O  O OX,1,0.75
,XXO  OOOX,3,0.0
,O  X   O ,6,0.9675
,O  X OXO ,8,0.0
,OO X OXOX,4,0.0
,O    OXXO,2,0.0
,O XO OXXO,1,0.0
,X   OO   ,3,0.5625
,XO XOO   ,7,2.25
,XOOXOO X ,6,8.0
,    X  OO,1,0.5625
, X  XO OO,6,0.75
, X OXOXOO,0,0.0
,  O OX   ,0,1.7775
,XOO OX   ,8,0.0
, X  OOXO ,8,0.45
,OX  OOXOX,3,4.0
,O  O    X,1,1.7775
,    XO  O,0,14.8275
,X   XOO O,1,0.75
,  OO X   ,4,1.935
,O OOXX   ,8,0.0
,O OOXX OX,1,0.0
, OX     O,7,0.81
, OX O  XO,3,0.45
, OXXOO XO,0,2.0
,   OX   O,1,12.5925
,OX OX   O,7,16.0
, X   O O ,2,0.5625
,OXX  O O ,4,0.75
,OXXOXO O ,6,3.0
,XO   O   ,3,0.405
,XO X OO  ,7,0.9
,XO X OOXO,2,3.5
,   O  O X,7,0.0
, O O  OXX,4,0.0
, O OXOOXX,2,0.0
,O  OX    ,6,7.0575
,O  OXOX  ,1,2.4
,OXOOXOX  ,8,2.0
,      O  ,2,11.27025
,O X   O  ,1,0.9675
,  O O X  ,7,17.497500000000002
, OO O XX ,5,4.950000000000001
, O OX    ,0,3.06
,XO OX O  ,2,0.45
,     OOX ,8,0.0
,    OOOXX,0,0.0
,OX     O ,3,0.405
,OX X  OO ,2,0.0
,    O O X,0,0.0
,X   OOO X,2,1.5
,XOX OOO X,7,0.0
,O     O X,2,0.9675
,O X  OO X,3,0.45
,OOXX OO X,4,1.5
,O   XO   ,7,0.5625
,OO  XO X ,6,1.5
,OO  XOXXO,2,8.0
,XO     O ,4,8.5275
,XO  XO O ,3,0.75
,XO XXO OO,6,10.0
,O OX     ,8,2.0250000000000004
, O   XO  ,8,0.0
,OO   XO X,4,0.0
,  O   XO ,8,3.960000000000001
,O O   XOX,5,0.45
,O O OXXOX,1,9.5
,   XOXOO ,1,0.0
,OX XOXOO ,8,0.0
,  O OOXX ,3,9.0
,O OXOOXX ,8,71.0
, O   X O ,6,0.9675
, O O XXO ,4,0.0
,OO OXXXO ,8,0.0
,  OXO    ,1,0.405
, XOXOO   ,8,0.9
,OXOXOO  X,6,2.0
,X  OO    ,6,1.215
,XO OO X  ,7,0.45
,XO OO XXO,5,3.0
,  XO   O ,6,1.3125
,  XOO XO ,0,0.75
,X XOO XOO,1,4.0
, O  OX   ,7,0.0
, O  OXOX ,8,0.0
, X  OO   ,2,0.75
,  X O   O,1,2.8125
, XX O O O,0,4.0
,    O OX ,1,0.0
,OX  O OX ,3,0.0
,OO XX O  ,5,15.0
,O O   X  ,8,2.28
,O O O X X,1,7.500000000000001
,OXOOO X X,7,4.0
,   XO  O ,6,2.25
,  OXO XO ,1,5.4
, XOXO XOO,0,19.0
,    OXO  ,7,0.0
,OO   X XO,3,1.5
,O   X  O ,3,1.155
,O  XXO O ,2,1.65
,O XXXOOO ,8,4.0
,   OX  O ,2,1.6875
,  XOX OO ,1,0.0
, XXOXOOO ,8,0.0
,O O X    ,8,0.9675
,O O X O X,3,2.25
,X    OO  ,2,0.5625
,X X  OOO ,4,1.5
,OOX   XO ,8,0.0
, O XOXO  ,2,0.75
,OOXXOXO  ,8,2.0
,   OOX OX,6,1.65
,O  OOXXOX,2,11.0
, O X    O,4,1.935
,XO X O O ,2,0.0
, XO  O   ,8,7.357500000000003
,OXO  O  X,6,2.7
,OXO  OXOX,3,55.0
,O   XXO O,1,2.25
,OXO XXO O,7,11.0
, O XO O X,0,0.0
,XO XOOO X,7,0.0
,X   O  O ,2,0.75
,XO    O  ,5,2.655
,XOO  XO  ,3,1.5
,  O X  O ,8,18.487500000000004
,  O XO OX,6,2.25
,O O XOXOX,1,16.5
,     X OO,4,0.405
,    XXOOO,0,0.0
,    X  OO,2,0.0
,    XO  O,6,5.4375
,O   XOX O,7,0.75
,O  OXOXXO,2,6.0
,  OO X   ,0,7.582500000000001
,X OO X O ,4,5.4
,XOOOXX O ,8,18.0
,   OO   X,6,1.3725
,O  OO X X,2,3.0
,OO     X ,6,3.0
,OO   OXX ,8,5.0
,X OOX   O,1,0.0
, O  OX   ,0,0.5625
,XO  OXO  ,3,0.0
,    XO  O,7,11.9025
,  O XO XO,6,0.0
,  O   OX ,4,95.6175
,  O XOOX ,1,96.0
, O  O X  ,2,0.5625
,OOX O X  ,5,0.75
,O   OX   ,3,0.0
,      OXO,1,0.5625
,OX    OXO,2,0.0
,  O   O X,0,7.875
,X OO  O X,4,7.0
, O XOO X ,2,0.45
, O X  XOO,4,0.75
,OO XX XOO,5,2.0
, O X O OX,0,1.5
,XOOX O OX,4,4.0
, OO  OX X,3,19.5
, OOX OXOX,4,0.0
,O   O  X ,2,0.0
,O X OO X ,3,0.0
,   OO X  ,7,5.9325
, O OO XX ,8,5.0
,O O    X ,4,4.125
,O O X  XO,6,0.0
, OO     X,6,0.5625
,O     XO ,4,10.2675
,OO  X XO ,5,3.0
,OO  XXXOO,3,4.0
,O      OX,2,1.53
,O X  O OX,1,0.0
,OXXO O OX,4,0.0
, O  X O  ,7,0.81
, O OX OX ,0,1.65
,XOOOX OX ,5,5.0
, OX O    ,6,1.125
,OOX O X  ,8,2.25
,OOX OOX X,7,3.0
,X O    O ,3,1.3125
,X OX O O ,1,0.75
,XXOXOO O ,6,3.0
,   O OXOX,0,2.25
,XO O OXOX,4,6.0
,   X O O ,4,2.4975
,O  XXO O ,6,0.0
,O OXXOXO ,1,0.0
,   O  O X,1,0.0
, XOO  O X,0,0.0
,XXOO OO X,7,0.0
,  O    XO,5,4.4325
,  O  XOXO,4,5.4
,  OOXXOXO,1,9.0
, X     OO,0,0.75
,XX   O OO,6,0.75
, O   O X ,8,0.5625
, O   OOXX,4,0.0
,OO  XOOXX,2,0.0
,  X   O O,3,0.5625
,  XXO O O,7,0.45
,XO X OOXO,4,0.0
, OXO     ,6,9.5625
, OO X    ,8,4.5
, OO X  OX,5,1.5
, OO XXOOX,0,8.0
,O  XO    ,5,0.0
,O OXOX   ,8,0.0
,OO X X  O,6,0.0
,X    OO  ,7,1.3725
,X O  OOX ,4,2.25
,X OOXOOX ,1,16.0
, O X  O  ,0,2.0925
,XO X  OO ,2,0.0
,O OOXX OX,6,0.0
,XO   XOO ,2,0.0
,X     OO ,8,5.8125
,X    OOOX,3,0.75
,X OX OOOX,4,5.0
, O O   X ,5,0.81
, O O XOX ,4,0.45
, O OXXOXO,0,1.5
,    OXO  ,0,2.0925
,XO OX  O ,6,3.15
,XO OX XOO,2,11.0
, X   OOOX,0,3.0
,XXO  OOOX,4,9.0
,  X O  O ,5,0.0
,  X OX OO,6,0.0
,O X  O   ,8,0.0
,O X OO  X,3,0.45
,OOXXOO  X,6,0.0
,  O  O X ,8,35.625
,  O OO XX,6,23.0
,X   O   O,5,3.06
,X O OX  O,6,1.95
,XOO OXX O,3,2.0
, X O  O  ,8,0.0
, X OO O X,7,0.0
,   OO  X ,2,0.0
,     OO X,7,0.5625
,O    OOXX,4,0.75
,X O  O   ,3,8.0625
,X OX OO  ,8,0.75
,X     O O,7,0.405
,XO    OXO,4,1.35
,XO OX OXO,5,4.5
,  O OX   ,8,0.9675
, OO OX  X,6,0.75
, OOOOXX X,7,2.0
,  O X O  ,1,2.8425
,OXO X O  ,7,13.0
,  OOX  OX,5,3.75
,O    O  X,1,2.0250000000000004
,OX   OO X,3,2.25
,OX X OOOX,2,0.5
, O O  X  ,7,0.75
,OX  O    ,6,5.3325000000000005
,OX  O XO ,5,2.25
,     XOO ,8,1.5
,   O XOOX,2,3.0
, O     XO,5,0.405
, O O X XO,0,2.25
,XO O XOXO,4,1.0
,  X O   O,6,0.0
, OX O X O,5,0.0
, X OXOO  ,8,0.0
,O O  X   ,1,1.3725
,OXO OX   ,8,0.0
,   O O  X,0,2.25
, OX   O  ,0,0.9675
,XOX O O  ,5,0.0
, O OXX  O,0,1.8
,XOOOXX  O,7,4.5
, X O  O  ,0,0.75
,XXOO  O  ,7,0.75
,XXOO  OXO,5,0.0
,O      OX,5,0.0
,O   OX OX,1,0.0
,OX  OXOOX,3,0.0
,    O OX ,3,0.405
,   O   OX,1,0.0
, X O  OOX,0,0.0
,XXOO  OOX,5,0.0
,X  OOX  O,1,0.75
, OXO  OX ,5,1.2
, OXOOXOX ,0,0.5
, X  OO OX,6,0.0
,  O OXXO ,0,1.65
, XO  O   ,7,0.75
, XO  OOX ,0,0.75
,OO X  OX ,8,0.0
,  O  XXOO,1,0.9
,OXO  XXOO,3,0.0
, O X    O,6,5.625
, O X OX O,0,2.0
,  O  OOXX,3,0.0
,  OO X XO,1,1.5
, XOOOX XO,6,0.0
, O X    O,7,1.53
, O X O XO,0,0.75
,XO XOO XO,6,6.0
,   O X O ,8,0.405
,   O XOOX,0,0.75
,X OO XOOX,1,0.0
,   X OO  ,8,1.62
,  OX OO X,7,0.0
, OOX OOXX,4,0.0
,  O  OX  ,7,9.0
,  O OOXX ,0,4.5
,XOO OOXX ,3,13.0
, OXO     ,7,0.81
,OOXO   X ,4,0.0
, XO O    ,3,0.0
,    O X O,3,0.5625
, O XO X O,2,0.0
, OXXOOX O,7,0.0
,O  OX    ,1,20.9625
,OX OX   O,6,3.75
,OXOOX X O,7,16.0
,  OO   X ,1,7.3125
, XOO   XO,0,0.0
,X O     O,1,0.0
,XXO O   O,7,0.0
,XO    OXO,5,2.25
,XO  OXOXO,3,0.0
,    O XO ,8,11.07
,   OO XOX,0,0.0
,X OOO XOX,5,0.0
,    X O O,0,0.5625
, X O   O ,2,2.25
, XXO   OO,0,5.0
,    X OO ,8,5.092499999999999
,O   X OOX,3,2.85
,O OXX OOX,1,2.0
,X X O  OO,5,0.0
, O OX    ,6,10.267499999999997
, OOOX X  ,5,5.400000000000001
, OOOXXX O,0,6.5
,O  X    O,4,0.405
,OO XX   O,7,1.65
,   X OO  ,2,13.680000000000003
,  XX OOO ,1,2.1
, XXXOOOO ,0,2.0
,    X O O,3,2.8125
,O  XX O O,5,10.0
,  O  O X ,3,6.1875
,  OXOO X ,6,42.75
, OOXOOXX ,8,13.0
,   OX O  ,8,3.375
,   OXOO X,0,6.0
,     XOO ,4,3.1875
, O  XXOO ,3,7.0
,O     O X,4,0.0
,O   XOO X,1,0.45
,O  XO OX ,1,0.0
,O    XO  ,8,0.75
, O  O   X,3,0.5625
, O XO O X,2,0.0
, OXXOOO X,0,0.0
, O   OX  ,7,2.625
, OO  OXX ,8,18.0
, OXX O O ,0,0.0
,XOXX OOO ,4,0.0
,X      OO,5,0.0
,X   OX OO,6,1.65
,O     X O,4,14.115
,O  OX X O,7,1.5
, O XOO  X,6,1.5
,XXO  OO  ,7,0.0
,XO      O,3,2.28
,XO X   OO,4,3.75
,X  XO O O,2,1.35
,X XXOOO O,7,1.5
,  OX  O  ,4,2.25
,O OXX O  ,8,0.45
, O   X  O,3,0.5625
, O X XO O,7,0.75
, O XOXOXO,2,0.0
,X  O  O  ,5,0.81
,X OO XO  ,1,0.0
, O O  X  ,0,0.81
,XO O OX  ,7,0.0
,XO O OXXO,4,0.0
,    OX O ,0,0.0
,   O  OX ,5,0.81
, O O XOX ,0,0.45
,XOOO XOX ,4,1.5
,O O  X OX,3,0.0
,O  X   O ,8,0.9675
,O  XO  OX,1,0.0
,OXOXO  OX,5,0.0
,O OOX   X,7,1.5
,  OO    X,0,0.5625
,X OO   OX,1,0.0
,O   X O  ,8,4.1175
,O   XOO X,3,2.7
,O OXXOO X,1,8.0
,   XOOO X,7,0.9
,O  XOOOXX,2,0.5
, XO  O   ,4,2.625
, XOOXO   ,6,2.7
,OXOOXOX  ,7,13.0
,  O  XO  ,8,2.8125
,X OOXO   ,8,4.0
,O O  XOX ,1,1.5
,  O  O  X,4,14.475
,O O XO  X,6,7.050000000000001
, O   XO  ,3,3.375
, O XOXO  ,8,0.75
,   O  O X,5,1.875
,   OOXO X,1,1.5
, X OOXOOX,2,6.0
,O O OX  X,1,0.0
,  OO  XXO,0,0.45
,X OOO XXO,1,0.0
, XO  OXO ,4,0.9
,OXO XOXO ,8,4.0
, OX O    ,8,0.75
,OOX O   X,5,1.0
,   X  O O,1,0.5625
, X X OO O,7,0.0
,     OO X,3,0.5625
,O OXXOO X,7,0.0
,O   XO   ,2,1.7775
,O XOXO   ,1,0.75
,   OOX   ,2,1.3125
,  X  O O ,8,0.405
,O X  O OX,3,1.35
,O XX OOOX,1,1.5
, OX    O ,8,0.75
, OX   OOX,0,0.0
, X   O O ,0,2.25
,XX O O O ,8,0.75
,XX O OOOX,4,7.0
,  O  X  O,7,4.1175
,  O  XOXO,3,0.75
, OOX XOXO,0,0.0
, O    OX ,4,1.53
,OO  X OX ,5,0.0
,  OX O   ,7,0.0
,O OXOOXX ,1,0.0
,O    O  X,7,1.3125
, O XO    ,5,0.0
, O XOXO  ,7,0.0
,O  X    O,5,2.0625
,O  X XO O,4,2.0
,  OOX    ,5,0.81
,OOX    OX,5,1.0
,XX  O  OO,6,0.9
,XX OO XOO,5,1.0
,X   O  O ,6,2.8425
,X   OOXO ,2,0.75
,X X OOXOO,3,2.0
,   X   OO,1,0.0
, X X O OO,2,0.0
,OXXX O OO,4,0.0
, OOXOOX X,0,8.0
,  OX  O  ,7,1.125
,  O  X  O,0,1.62
,O  XO    ,8,1.125
,O  XO O X,2,2.4
,O XXO OOX,5,5.0
, XXO   OO,4,0.75
,     OXO ,4,2.8125
, O  XOXO ,8,0.75
,   O X O ,1,0.405
,OX O X O ,2,0.0
,OXXO X OO,4,0.0
,   O O X ,8,0.0
,   OOO XX,6,0.0
,OX   O   ,8,0.0
,OX O O  X,4,2.7
,OX OXO OX,2,0.0
,X   OO   ,2,7.1850000000000005
,X X OOO  ,1,7.0
,    XOO  ,2,1.53
,  XOXOO  ,8,0.0
,X     OO ,3,0.0
,X OX  OO ,1,0.0
,   O O  X,7,3.5625
,  OO O XX,6,20.0
,OOX   X O,4,6.0
,X O OX  O,7,0.45
,X OOOX XO,1,0.0
, O  OX   ,8,2.0625
, O OOX  X,2,4.0
, X   O  O,4,3.9375
, X OXO  O,7,4.0
, X  O O  ,7,0.0
,   OX   O,0,2.4300000000000006
,XXOOX  OO,5,0.0
,XO  X O O,7,4.500000000000001
,XO OX OXO,2,1.5
,O O XXOXO,3,10.0
,  O XOOX ,8,8.25
, OO XOOXX,3,0.0
,X O  O   ,6,58.875
,X O  OX O,1,0.0
,X O X OO ,8,2.0
,O    O  X,6,1.62
,O    OXOX,1,0.9
,     OXO ,3,9.9375
, O X OXO ,0,8.0
, XO    O ,8,2.1825
, XO   OOX,4,1.95
,OXO X OOX,3,3.0
,O   X  O ,6,2.9025
,   O  X O,4,7.4025
,  OOX X O,1,1.95
,OXOOX X O,5,4.0
,  O X  O ,5,1.3725
,  O XX OO,0,2.1
,XO  XO  O,2,5.1000000000000005
,XOX XOO O,7,8.0
,     XO O,3,1.3125
, O X XO O,0,0.0
,  OO X   ,8,1.6875
,  OO XO X,0,4.5
,X OO XOOX,4,6.0
, O   X O ,0,1.935
,XO O X O ,6,0.45
,   O  XO ,8,1.7775
,O  O  XOX,5,1.65
,  OX O   ,0,1.5
,X OX O  O,4,0.0
,XO    O  ,8,0.0
,XOX  OOOX,3,0.0
,OX  OO  X,3,0.45
,OX XOO OX,6,1.5
,O O    X ,5,1.6875
,O X    O ,4,0.405
,O X X OO ,5,0.0
,   X   OO,6,1.875
, O X  XOO,5,2.25
, OOX XXOO,0,3.0
, OXX  O O,4,0.0
, XOOX O  ,7,5.0
,O O OX X ,8,2.25
,O OOOX XX,1,0.0
, XOO   XO,5,0.75
, XOOOX XO,0,0.0
,OO   X   ,8,0.0
,OO O X  X,4,0.0
,  O X   O,6,1.7775
, OX  O   ,6,1.3125
,OOXX OXO ,8,0.0
,   O XO  ,8,3.1875
, O O XO X,2,3.0
,  O X  O ,1,2.4975
, XOOX  O ,5,0.45
,OXOOXX O ,6,1.0
,O  O X OX,1,0.45
,OXOO X OX,6,2.0
,    O  OX,6,0.0
,X  O O   ,6,0.0
,X  O OX O,1,0.0
,  X  O  O,0,4.965
,X X  OO O,1,2.0
, X   O  O,3,0.5625
, O  OX XO,2,0.45
,   O  XO ,1,5.985000000000002
,OX O  XO ,4,0.45
,OXOOX XO ,8,9.5
,XO    O  ,4,0.0
,XOX XOOO ,3,0.0
,O   X   O,6,6.277500000000001
,O   X XOO,2,6.0
, O XO    ,0,4.770000000000001
,XO XO O  ,2,3.1500000000000004
,XOXXOOO  ,7,3.5
,O X   O  ,7,0.5625
, O O   X ,8,0.75
, O OO  XX,6,3.0
, OXO OX  ,4,3.0
,X   OO   ,7,0.0
,X   OO XO,6,0.0
,XO  OOXXO,2,0.0
, O  X O  ,5,3.375
,OO  XXO  ,7,0.75
,OO  XXOXO,3,2.0
, X O O   ,7,1.3125
,OX O O X ,6,0.75
,OXOO OXX ,8,3.0
,O OOXX   ,7,0.0
,O OOXX XO,6,0.0
,O XX O O ,8,0.9
,OOXX O OX,4,2.5
, O X    O,5,3.0
, OOX X  O,7,0.0
,XO  O    ,2,0.405
,XOXOO    ,5,1.2
,OXO      ,3,3.06
,OXOX  O  ,7,0.0
, XOX OO  ,0,0.0
,OX      O,3,0.0
,OX X   OO,6,0.0
,OXOX  XOO,5,0.0
, X  O  O ,2,1.7175
, XX O  OO,3,0.0
,    OX  O,1,0.81
, X OOX  O,0,1.65
,XX OOX OO,6,0.5
,O  O  X  ,4,2.4375
,O OOX X  ,7,0.75
, O   O  X,3,0.9675
,    OXO  ,1,0.0
, X OOXO  ,0,1.5
,O X XO O ,1,0.0
,OXXOXO O ,8,0.0
,OOXXO O X,5,2.0
, X    O O,2,6.5625
, XX  OO O,3,0.0
,OXXX OO O,7,0.0
, O OX  XO,0,0.0
,OO X  OX ,5,0.0
,OO XOXOX ,2,0.0
,O OX XOXO,4,3.0
,    O  OX,5,0.75
, O  OX OX,6,0.0
,O   XOXO ,1,0.45
, OO  X   ,8,0.0
, OOO X  X,6,0.0
,OXO    OX,3,2.7
,  OO   X ,5,2.25
,O OO X X ,8,0.0
,O  O  X  ,2,11.625
,OOXO  X  ,4,10.0
,   OO  X ,0,0.0
,X OOO  X ,8,0.0
,XOOOO  XX,5,0.0
,X   O O  ,8,1.125
,X   OOO X,1,0.75
,XX  OOOOX,2,4.0
, O  X OXO,5,1.5
, OO XXOXO,3,16.0
,X   OO XO,3,0.0
, OOX   OX,0,0.0
,XOX   OO ,8,0.75
,XOX  OOOX,4,4.0
,X   OX OO,3,0.75
,  X   O O,1,1.125
, XX O O O,7,0.75
, XX OOOXO,0,3.0
,   XO   O,5,0.0
,   XOXO O,1,0.0
,O      XO,2,0.5625
,O XO   XO,4,0.75
,X X OOO  ,8,0.75
,X X OOOOX,1,4.0
,OO X     ,6,3.9375
,OO XO X  ,2,0.0
, XO OO X ,0,0.0
,   OXXOO ,2,0.75
, OXOXXOO ,8,4.0
,O      XO,3,0.0
,  O    XO,3,2.8125
,O OX   XO,1,2.25
,OXOX  OXO,4,14.0
,     OX O,1,0.5625
, X  OOX O,7,0.0
,O OO X  X,4,0.0
,X O     O,4,1.125
,X O X  OO,1,0.0
,X  XOOO  ,8,0.0
,XO   O   ,7,0.0
,XO   O XO,6,0.0
, OX   O  ,7,0.0
, OX O OX ,8,0.0
, OX OOOXX,0,0.0
,OO   X   ,6,0.5625
,OO  OXX  ,2,0.75
,OOXOOXX  ,7,0.0
,O  OX    ,5,2.0250000000000004
,OO OXX   ,8,0.0
,OX X OO  ,4,0.75
, O  X  O ,2,0.405
, OX XO O ,3,0.9
, OXXXOOO ,8,2.5
,O   X O  ,5,5.625
,X O     O,7,1.62
,X O   OXO,1,0.0
, XO XO  O,7,8.0
,OXO      ,4,71.88
,OXO X  O ,6,4.950000000000001
,OXO X XOO,5,15.0
, OO XO  X,0,5.0
,  XO  O  ,5,3.03
,  XO XO O,1,1.5
, XXOOXO O,0,8.0
,    O OX ,8,0.0
,O   O OXX,1,0.0
,O X  O   ,1,0.9675
,OXX  OO  ,4,1.5
,OXX XOO O,7,5.0
,  OX    O,1,0.0
, XOX   OO,0,0.0
, O XX  OO,6,2.25
, O XXOXOO,2,7.0
,OXOO    X,7,2.25
,OXOO O XX,6,4.0
,  XXOOOXO,1,0.0
,OO     X ,2,0.5625
,OOX O  X ,3,0.0
,OO  O XX ,8,24.0
,  XO O   ,7,1.3725
, O X OXO ,4,0.75
, OOXXOXO ,0,11.0
,  O O   X,6,5.272500000000001
,O O O X X,3,0.0
, X O   O ,8,0.9675
,OX O   OX,4,0.45
,  X  O  O,4,1.215
,  X XOO O,0,2.25
,  O OXXO ,8,0.9
,  OOOXXOX,0,0.0
,  O X  O ,3,3.5925
, OOXX OOX,0,10.0
,  X  O  O,7,0.81
,  X  OOXO,4,0.45
, OX XOOXO,0,1.5
,O O O XX ,3,5.25
, X  O  O ,5,0.5625
, X  OX OO,3,0.0
,      XOO,0,0.81
,X  O  XOO,5,0.45
,XO O XXOO,4,2.5
, O  O  X ,6,1.3125
, O  O XXO,0,2.1
,XOO O XXO,3,4.0
,X O O    ,1,0.5625
,    XO  O,2,6.615000000000001
,  XOXO  O,7,1.35
,  XOXOOXO,0,5.0
,O      XO,6,0.0
,O  O X   ,1,0.405
,OXOO X   ,8,0.45
, X OO    ,0,0.75
,XX OO O  ,5,0.0
, O  XOX O,3,0.75
,O X  XO O,7,0.0
,OXO      ,6,5.265000000000002
,OXO   XO ,8,67.50000000000023
,O  O   X ,6,1.125
,OO O  XX ,2,0.0
,OOXO  XXO,5,0.0
,   O O  X,4,7.0275
,OO    X  ,4,2.4375
,OO  X X O,3,0.75
,OXO      ,5,3.2175
,OXO  XO  ,4,0.75
,OX     O ,6,2.1825
,OX O  XO ,2,2.25
,OXXO OXO ,8,0.0
,   O XO  ,2,0.0
, OXO XO  ,0,1.2
,XOXO XO O,4,0.0
, O O X   ,0,0.405
,XO O XO  ,7,0.0
,XOOO XOX ,8,0.0
,XXOO OXO ,8,0.0
, OOX     ,6,2.4375
,O X   O  ,5,0.75
,O X OXO  ,7,0.0
, O  O   X,0,1.125
,XO  OO  X,3,1.5
,XOOXOO  X,6,8.0
,XO     O ,5,1.53
,  X  O O ,4,0.9675
, OX XO O ,8,8.7
, OX XOOOX,0,9.0
,    O XO ,3,2.0925
,XOXOOXO  ,8,4.0
,  XO O   ,0,0.405
,OX OOX   ,6,0.45
,OX OOXXO ,8,3.0
, X  OO   ,3,5.085
, X XOO  O,0,2.25
,XX XOO OO,6,5.0
, OO  X XO,4,0.45
, OOOXX XO,0,2.5
,  O  X O ,4,0.81
,  O XXOO ,1,0.0
,     O OX,0,0.75
,X O  O OX,4,3.0
,O   O X  ,7,15.0
,  XO OOX ,0,0.0
,    OXOXO,3,0.0
,OXO X   O,6,0.75
,      OXO,2,0.405
,O X   OXO,3,0.0
,OOXX  OXO,5,0.0
, OO OX X ,0,0.0
,    O O X,1,0.0
,OOX O X  ,3,0.0
,O      OX,1,2.9925000000000006
,OX XOO OX,2,1.0
, OX  O   ,0,1.935
